"","iso","country","gdp"
"1","AFG","Afghanistan, Islamic Republic of",10.297
"2","ALB","Albania",12.901
"3","DZA","Algeria",171.001
"4","AGO","Angola",84.178
"5","ARG","Argentina",363.545
"6","ARM","Armenia, Republic of",11.662
"7","AUS","Australia",1054.24
"8","AUT","Austria",432.334
"9","AZE","Azerbaijan, Republic of",48.979
"10","BHS","Bahamas, The",10.526
"11","BHR","Bahrain, Kingdom of",25.711
"12","BGD","Bangladesh",97.062
"13","BRB","Barbados",4.785
"14","BLR","Belarus",60.746
"15","BEL","Belgium",521.084
"16","BLZ","Belize",1.369
"17","BEN","Benin",7.166
"18","BOL","Bolivia",16.792
"19","BIH","Bosnia and Herzegovina",18.8
"20","BRA","Brazil",1694.856
"21","BRN","Brunei Darussalam",16.005
"22","BGR","Bulgaria",54.408
"23","BFA","Burkina Faso",8.409
"24","BDI","Burundi",1.612
"25","KHM","Cambodia",10.342
"26","CMR","Cameroon",26.534
"27","CAN","Canada",1549.073
"28","CPV","Cape Verde",1.789
"29","CAF","Central African Republic",1.985
"30","TCD","Chad",10.389
"31","CHL","Chile",179.52
"32","CHN","China, P.R.: Mainland",4604.285
"33","COL","Colombia",244.302
"34","COM","Comoros",0.533
"35","ZAR","Congo, Democratic Republic of",19.129
"36","COG","Congo, Republic of",10.224
"37","CRI","Costa Rica",30.844
"38","CIV","Côte d'Ivoire",24.339
"39","HRV","Croatia",70.452
"40","CUB","Cuba",60.806
"41","CYP","Cyprus",27.972
"42","CZE","Czech Republic",236.031
"43","DNK","Denmark",353.359
"44","DJI","Djibouti",0.984
"45","DMA","Dominica",0.458
"46","DOM","Dominican Republic",48.206
"47","ECU","Ecuador",61.763
"48","EGY","Egypt",170.797
"49","SLV","El Salvador",21.431
"50","GNQ","Equatorial Guinea",19.75
"51","EST","Estonia",24.285
"52","ETH","Ethiopia",26.839
"53","FJI","Fiji",3.523
"54","FIN","Finland",285.087
"55","FRA","France",2937.321
"56","GAB","Gabon",15.582
"57","GMB","Gambia, The",0.966
"58","GEO","Georgia",12.795
"59","DEU","Germany",3770.15
"60","GHA","Ghana",28.528
"61","GRC","Greece",356.14
"62","GRD","Grenada",0.826
"63","GTM","Guatemala",39.137
"64","GNB","Guinea",0.869
"65","GIN","Guinea-Bissau",6.966
"66","GUY","Guyana",1.916
"67","HTI","Haiti",6.55
"68","HND","Honduras",13.79
"69","HUN","Hungary",157.998
"70","ISL","Iceland",17.658
"71","IND","India",1224.096
"72","IDN","Indonesia",558.582
"73","IRN","Iran, Islamic Republic of",406.212
"74","IRQ","Iraq",131.614
"75","IRL","Ireland",276.416
"76","ISR","Israel",215.839
"77","ITA","Italy",2402.062
"78","JAM","Jamaica",13.743
"79","JPN","Japan",5037.909
"80","JOR","Jordan",21.963
"81","KAZ","Kazakhstan",133.441
"82","KEN","Kenya",35.895
"83","PRK","Korea, Democratic People's Rep. of",13.337
"84","KOR","Korea, Republic of",1002.219
"85","KWT","Kuwait",147.402
"86","KGZ","Kyrgyz Republic",5.139
"87","LAO","Lao People's Democratic Republic",5.948
"88","LVA","Latvia",35.763
"89","LBN","Lebanon",29.228
"90","LBR","Liberia",1.726
"91","LBY","Libya",73.917
"92","LTU","Lithuania",48.125
"93","LUX","Luxembourg",56.114
"94","MKD","Macedonia, FYR",9.912
"95","MDG","Madagascar",9.413
"96","MWI","Malawi",5.321
"97","MYS","Malaysia",238.645
"98","MDV","Maldives",2.272
"99","MLI","Mali",9.797
"100","MLT","Malta",9.02
"101","MRT","Mauritania",3.947
"102","MUS","Mauritius",9.641
"103","MEX","Mexico",1109.987
"104","MDA","Moldova",6.055
"105","MNG","Mongolia",8.084
"106","MAR","Morocco",92.507
"107","MOZ","Mozambique",11.555
"108","MMR","Myanmar",34.49
"109","NPL","Nepal",12.545
"110","NLD","Netherlands",940.665
"111","NZL","New Zealand",135.53
"112","NIC","Nicaragua",8.497
"113","NER","Niger",5.429
"114","NGA","Nigeria",330.26
"115","NOR","Norway",462.552
"116","OMN","Oman",60.906
"117","PAK","Pakistan",170.853
"118","PAN","Panama",25.558
"119","PNG","Papua New Guinea",11.671
"120","PRY","Paraguay",18.503
"121","PER","Peru",121.591
"122","PHL","Philippines",173.603
"123","POL","Poland",533.8
"124","PRT","Portugal",263.25
"125","QAT","Qatar",115.27
"126","ROM","Romania",213.609
"127","RUS","Russian Federation",1784.514
"128","RWA","Rwanda",4.863
"129","WSM","Samoa",0.667
"130","STP","São Tomé and Príncipe",0.188
"131","SAU","Saudi Arabia",519.797
"132","SEN","Senegal",13.439
"133","SER","Serbia, Republic of",49.165
"134","SYC","Seychelles",0.998
"135","SLE","Sierra Leone",2.511
"136","SGP","Singapore",192.231
"137","SVK","Slovak Republic",97.03
"138","SVN","Slovenia",55.853
"139","SLB","Solomon Islands",0.608
"140","SOM","Somalia",2.6
"141","ZAF","South Africa",287.095
"142","ESP","Spain",1642.765
"143","LKA","Sri Lanka",46.602
"144","KNA","St. Kitts and Nevis",0.739
"145","LCA","St. Lucia",1.282
"146","VCT","St. Vincent and the Grenadines",0.695
"147","SDN","Sudan",64.833
"148","SUR","Suriname",3.533
"149","SWE","Sweden",513.966
"150","CHE","Switzerland",553.765
"151","SYR","Syrian Arab Republic",52.631
"152","TWN","Taiwan",417.038
"153","TJK","Tajikistan",5.135
"154","TZA","Tanzania",27.368
"155","THA","Thailand",291.383
"156","TGO","Togo",3.326
"157","TON","Tonga",0.342
"158","TTO","Trinidad and Tobago",27.793
"159","TUN","Tunisia",44.84
"160","TUR","Turkey",764.643
"161","TKM","Turkmenistan",21.516
"162","UGA","Uganda",17.279
"163","UKR","Ukraine",188.24
"164","UAE","United Arab Emirates",315.475
"165","GBR","United Kingdom",2921.132
"166","USA","United States",14718.575
"167","URY","Uruguay",30.366
"168","UZB","Uzbekistan",29.532
"169","VUT","Vanuatu",0.608
"170","VEN","Venezuela, República Bolivariana de",289.741
"171","VNM","Vietnam",98.269
"172","YEM","Yemen, Republic of",26.911
"173","ZMB","Zambia",17.911
"174","ZWE","Zimbabwe",5.805
